Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,379.589996,382.859985,378.179993,379.070007,377.070313,55097800
2023-07-17,379.799988,383.500000,379.309998,382.609985,380.591644,40868900
2023-07-18,381.959991,387.130005,380.000000,385.739990,383.705078,55343400
2023-07-19,386.820007,387.980011,384.299988,385.649994,383.615601,54093000
2023-07-20,382.609985,384.100006,375.720001,376.760010,374.772522,71941700
2023-07-21,379.179993,379.920013,375.190002,375.630005,373.648468,60439400
2023-07-24,376.619995,377.579987,374.339996,376.230011,374.245331,40380100
2023-07-25,376.950012,380.470001,376.929993,378.779999,376.781860,38894400
2023-07-26,377.720001,379.239990,375.179993,377.519989,375.528473,47075700
2023-07-27,383.070007,384.709991,375.309998,376.619995,374.633240,63940200
2023-07-28,380.739990,384.519989,380.220001,383.480011,381.457062,56902900
2023-07-31,383.790009,384.880005,382.339996,383.679993,381.656006,44019900
2023-08-01,382.309998,383.559998,380.690002,382.790009,380.770721,41060600
2023-08-02,379.260010,379.260010,373.130005,374.390015,372.415009,72687100
2023-08-03,371.940002,375.950012,371.769989,373.790009,371.818176,47666400
2023-08-04,375.750000,378.100006,371.529999,372.040009,370.077423,61646200
2023-08-07,373.880005,375.290009,371.510010,375.190002,373.210785,37230400
2023-08-08,372.640015,372.660004,368.820007,372.000000,370.037628,44726500
2023-08-09,372.290009,372.450012,367.140015,367.910004,365.969208,51150900
2023-08-10,370.970001,374.359985,367.040009,368.589996,366.645630,72035300
2023-08-11,365.989990,368.000000,364.690002,366.239990,364.307983,48683800
2023-08-14,365.429993,370.470001,364.700012,370.350006,368.396362,42130800
2023-08-15,369.359985,370.170013,365.739990,366.420013,364.487030,45539900
2023-08-16,365.869995,367.429993,362.440002,362.540009,360.627533,53190500
2023-08-17,363.959991,364.309998,358.160004,358.579987,356.688385,62604300
2023-08-18,355.260010,359.410004,354.709991,358.130005,356.240784,61119500
2023-08-21,359.619995,364.589996,359.149994,363.899994,361.980347,50696500
2023-08-22,366.549988,366.559998,362.679993,363.380005,361.463104,44613500
2023-08-23,364.579987,370.220001,364.359985,369.109985,367.162842,51770600
2023-08-24,372.640015,372.739990,361.010010,361.220001,359.314484,66842500
2023-08-25,362.070007,365.739990,358.579987,364.019989,362.099701,69960500
2023-08-28,366.989990,367.709991,364.250000,366.760010,364.825287,40910000
2023-08-29,366.559998,375.130005,366.230011,374.769989,372.792999,58492400
2023-08-30,374.880005,377.450012,373.859985,376.859985,374.871948,41731500
2023-08-31,376.940002,379.720001,376.869995,377.989990,375.996033,35730700
2023-09-01,380.399994,380.829987,376.079987,377.589996,375.598114,39772400
2023-09-05,376.769989,379.309998,375.829987,378.070007,376.075592,32344200
2023-09-06,377.279999,377.630005,372.700012,374.739990,372.763123,42998700
2023-09-07,370.209991,372.850006,369.149994,372.059998,370.097290,52060700
2023-09-08,372.010010,374.850006,371.600006,372.579987,370.614563,35800100
2023-09-11,375.660004,377.489990,373.660004,376.970001,374.981384,39936600
2023-09-12,375.269989,376.950012,372.500000,372.790009,370.823425,41391000
2023-09-13,373.029999,375.839996,371.880005,374.209991,372.235901,46300700
2023-09-14,375.989990,378.269989,373.890015,377.269989,375.279816,48039400
2023-09-15,375.910004,376.320007,369.859985,370.809998,368.853912,69757700
2023-09-18,369.320007,371.790009,369.029999,370.660004,369.238403,36903500
2023-09-19,369.320007,370.679993,366.799988,369.869995,368.451416,37621700
2023-09-20,370.950012,371.309998,364.459991,364.540009,363.141907,45514200
2023-09-21,360.799988,361.600006,357.690002,357.859985,356.487488,69584700
2023-09-22,359.630005,361.799988,357.589996,357.910004,356.537323,51589700
2023-09-25,356.929993,359.700012,355.929993,359.609985,358.230774,39168000
2023-09-26,356.989990,357.540009,353.209991,354.209991,352.851471,53657700
2023-09-27,355.380005,356.980011,351.359985,355.040009,353.678345,56066000
2023-09-28,354.109985,360.170013,353.239990,358.010010,356.636932,56453300
2023-09-29,361.540009,362.950012,357.019989,358.269989,356.895935,64754300
2023-10-02,358.540009,362.679993,357.920013,361.260010,359.874451,51625100
2023-10-03,358.779999,361.010010,353.279999,354.920013,353.558807,60478500
2023-10-04,355.769989,360.609985,355.299988,359.750000,358.370239,54786700
2023-10-05,359.739990,360.149994,355.140015,358.690002,357.314301,45897400
2023-10-06,355.649994,365.910004,354.850006,364.700012,363.301300,74959200
2023-10-09,362.299988,367.109985,360.779999,366.559998,365.154114,45304800
2023-10-10,366.899994,371.279999,366.390015,368.589996,367.176361,46968800
2023-10-11,369.940002,371.410004,368.190002,371.220001,369.796265,38215100
2023-10-12,371.730011,373.739990,367.500000,369.929993,368.511200,49587900
2023-10-13,370.570007,371.160004,363.859985,365.279999,363.879059,52469900
2023-10-16,366.619995,370.480011,366.470001,369.410004,367.993195,44201100
2023-10-17,365.809998,369.920013,363.660004,368.200012,366.787872,50999100
2023-10-18,365.670013,367.910004,362.019989,363.369995,361.976379,54280500
2023-10-19,364.809998,366.019989,359.160004,359.970001,358.589417,72274200
2023-10-20,359.459991,360.040009,354.369995,354.600006,353.240021,72369800
2023-10-23,353.260010,359.260010,351.119995,355.670013,354.305908,60665200
2023-10-24,357.510010,359.910004,355.790009,359.130005,357.752655,47082100
2023-10-25,356.700012,356.880005,349.750000,350.339996,348.996338,71190500
2023-10-26,349.119995,350.070007,342.350006,343.660004,342.341980,78621400
2023-10-27,346.429993,348.839996,344.079987,345.309998,343.985626,63476700
2023-10-30,347.829987,350.540009,346.450012,349.200012,347.860718,55298500
2023-10-31,349.230011,351.250000,346.619995,350.869995,349.524323,47671900
2023-11-01,351.720001,357.529999,351.619995,356.959991,355.590942,58992700
2023-11-02,361.540009,363.679993,360.299988,363.440002,362.046112,58162400
2023-11-03,364.750000,369.019989,364.519989,367.709991,366.299713,53239100
2023-11-06,368.489990,369.779999,366.910004,369.209991,367.793945,38848700
2023-11-07,370.269989,373.579987,369.049988,372.700012,371.270569,50777400
2023-11-08,373.079987,373.790009,370.619995,372.940002,371.509644,35663400
2023-11-09,373.640015,374.799988,369.570007,370.070007,368.650696,53859400
2023-11-10,371.820007,378.540009,371.279999,378.390015,376.938782,58309800
2023-11-13,376.790009,378.279999,375.239990,377.209991,375.763306,40733500
2023-11-14,383.709991,386.260010,383.179993,385.329987,383.852112,67792600
2023-11-15,387.250000,387.750000,384.239990,385.619995,384.141022,54141400
2023-11-16,384.839996,386.190002,383.559998,385.950012,384.469788,45343500
2023-11-17,385.209991,387.070007,384.290009,386.040009,384.559448,46571900
2023-11-20,386.049988,391.410004,386.049988,390.739990,389.241394,44429600
2023-11-21,389.010010,389.230011,386.700012,388.470001,386.980103,43337000
2023-11-22,390.570007,393.070007,389.040009,390.059998,388.563995,44121000
2023-11-24,389.649994,390.250000,388.500000,389.510010,388.016113,15718800
2023-11-27,389.010010,391.149994,388.279999,389.170013,387.677399,34139700
2023-11-28,388.410004,390.779999,388.049988,390.190002,388.693512,35491100
2023-11-29,392.690002,394.140015,389.459991,389.809998,388.314941,38811700
2023-11-30,390.079987,390.549988,385.820007,388.829987,387.338715,52834400
2023-12-01,387.750000,390.540009,386.070007,389.940002,388.444458,40440500
2023-12-04,386.089996,386.600006,382.660004,386.320007,384.838318,51186900
2023-12-05,384.390015,388.500000,384.209991,387.290009,385.804657,42933000
2023-12-06,390.269989,390.369995,384.700012,385.049988,383.573181,41994100
2023-12-07,388.070007,391.269989,386.959991,390.429993,388.932587,49593500
2023-12-08,388.670013,392.619995,388.480011,392.170013,390.665924,46623600
